climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1848.26316,1854.43809,1860.55317,1866.556435,1872.2569250000001,1877.830475,1877.32582,1870.906325,1859.108255,1842.356505,1821.134045,1795.79863,1766.478445,1733.65618,1697.458905,1658.04908,1620.5870850000001,1585.17904,1551.737705,1519.9290799999999,1489.7066300000001,1461.02928,1434.7019,1409.76466,1385.50819,1362.47424,1340.435565,1319.297095,1298.983005,1279.421515,1260.5591650000001,1242.4022,1224.87328,1207.735525,1191.2055,1175.06777,1160.108475,1146.303795,1133.5594,1121.68007,1110.7178199999998,1100.4632350000002,1091.1968849999998,1082.594,1074.712785,1067.49084,1060.64929,1054.16479,1048.083545,1042.420245,1037.119895,1032.17748,1027.544795,1023.1895099999999,1019.107945,1015.3043299999999,1011.716375,1008.2926299999999,1004.966985,1001.6897650000001,998.42904,995.2533000000001,992.14769,989.0950700000001,986.08163,983.137125,980.2459650000001,977.377605,974.5472199999999,971.753195,968.998835,966.2290800000001,963.436365,960.6652349999999,957.93727,955.271655,952.43115,949.4282949999999,946.290165,942.99877,939.560305,935.9819,932.35556,928.8123800000001,925.20438
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.431085,404.84791,407.176035,409.47060999999997,411.74527,413.940445,415.83842500000003,417.518495,418.98036,420.222085,421.254655,422.084785,422.7149,423.14443500000004,423.37293,423.253565,423.01868,422.56916,422.34227999999996,421.961275,421.48137499999996,420.87814000000003,420.16193,419.36958,418.45086000000003,417.43138999999996,416.37143000000003,415.14063,413.79922,412.40472,410.96163,409.47362,408.00527,406.51077499999997,405.041975,403.510665,401.99618499999997,400.475035,399.012065,397.46700999999996,395.93952,394.439935,392.947405,391.461735,389.98244,388.509145,387.064685,385.714795,384.371615,382.95846,381.512525,380.07668,378.65273,377.23897,375.830895,374.42441,373.018595,371.61403499999994,370.21175,368.86314000000004,367.59069999999997,366.32209,365.059355,363.895085,362.766055,361.511545,360.223125,358.94183,357.711295,356.616525,355.524805,354.436605,353.35366,352.27640499999995,351.11504,349.90616,348.698775,347.506975,346.33140000000003,345.154125,343.974495,342.79133,341.6538,340.51259,339.38205
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.73310000000004,329.27878,329.81913,330.35637499999996,330.89039,331.421095,331.90885000000003,332.353795,332.75588500000003,333.11581,333.43374,333.71023,333.945515,334.140075,334.294085,334.407995,334.512205,334.60748,334.693505,334.77031999999997,334.83736,334.895375,334.94445,334.98471,335.01647,335.04087,335.05537,335.06007,335.05501,335.03972,335.013775,334.97817499999996,334.932955,334.87851,334.814665,334.74159,334.66650000000004,334.589465,334.51052,334.429655,334.34683,334.26203499999997,334.175275,334.08658,333.99598000000003,333.90352,333.80868499999997,333.711495,333.61243,333.51148,333.40819,333.30255,333.19454499999995,333.08419000000004,332.97152500000004,332.85659999999996,332.739245,332.61947,332.49728500000003,332.372415,332.24504,332.115285,331.98314000000005,331.84862499999997,331.711115,331.5712,331.429405,331.285235,331.138845,330.990645,330.840665,330.68851,330.53436,330.37846,330.22079,330.06145,329.900675,329.737365,329.57156999999995,329.40335500000003,329.232765,329.059645,328.88379499999996,328.70561,328.525085
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.55239,2.71307,2.56091,2.58634,2.61754,2.705735,2.75192,2.817565,2.87909,2.92223,2.95114,2.96527,2.96145,2.9572849999999997,2.96683,2.97006,2.94604,2.90409,2.87219,2.85515,2.862945,2.84872,2.8406900000000004,2.806255,2.783825,2.737555,2.69117,2.6578299999999997,2.63503,2.618195,2.60529,2.607915,2.60369,2.596345,2.57414,2.527735,2.4782599999999997,2.435415,2.39145,2.353345,2.3330450000000003,2.323325,2.31275,2.28256,2.25563,2.233645,2.190545,2.148245,2.11212,2.08357,2.0557,2.03392,2.030285,2.031845,2.02527,1.99713,1.9591699999999999,1.919085,1.89019,1.8623750000000001,1.827385,1.8007,1.774115,1.760615,1.75326,1.754925,1.7502300000000002,1.73259,1.7113,1.67424,1.646415,1.6045099999999999,1.576085,1.5580150000000001,1.54176,1.536605,1.54505,1.5480999999999998,1.55573,1.52306,1.481195,1.44682,1.4103400000000001,1.38586,1.3634149999999998,1.351935,1.35046
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.1575950000000002,-1.183865,-1.18078,-1.188025,-1.1277849999999998,-1.097835,-1.16647,-1.09991,-1.15506,-1.09594,-1.15194,-1.02091,-0.99944,-0.97751,-0.95512,-0.93212,-0.90382,-0.86892,-0.8331649999999999,-0.793955,-0.751275,-0.7054400000000001,-0.653695,-0.60575,-0.56395,-0.51708,-0.48553999999999997,-0.46885,-0.453355,-0.43598499999999996,-0.417245,-0.40754,-0.399385,-0.385795,-0.37124500000000005,-0.359825,-0.349385,-0.34004,-0.326665,-0.309795,-0.289455,-0.27524,-0.26371999999999995,-0.243965,-0.228545,-0.215475,-0.20891500000000002,-0.202005,-0.19641,-0.189695,-0.18482,-0.17959,-0.1739,-0.169835,-0.16575499999999999,-0.161045,-0.15891,-0.15498,-0.151445,-0.14754,-0.14429,-0.14016,-0.13541999999999998,-0.1301,-0.124745,-0.119365,-0.11503,-0.111775,-0.107925,-0.104185,-0.10074,-0.09799,-0.09509999999999999,-0.09193,-0.08872,-0.08658,-0.08393500000000001,-0.078735,-0.073025,-0.06838,-0.06241,-0.05642,-0.05165,-0.04599,-0.0403,-0.034185,-0.027860000000000003,-0.0215,-0.015109999999999998,-0.010595,-0.00612,-0.00037,0.00542,0.01124,0.0168,0.02293,0.02882
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.28815,-0.220605,-0.21777,-0.21487499999999998,-0.21265499999999998,-0.21031,-0.20729,-0.20357,-0.198505,-0.19399,-0.190855,-0.18772,-0.18667,-0.18355,-0.1772,-0.17378,-0.1747,-0.17847,-0.18174,-0.18501,-0.18858999999999998,-0.19245,-0.19773000000000002,-0.202525,-0.207055,-0.208985,-0.212825,-0.215995,-0.219165,-0.22134500000000001,-0.221265,-0.22299999999999998,-0.22727,-0.23024,-0.2327,-0.23628,-0.236215,-0.23581,-0.235345,-0.234695,-0.23404999999999998,-0.233395,-0.232745,-0.23209000000000002,-0.23143999999999998,-0.23070000000000002,-0.22962,-0.229225,-0.228965,-0.22838,-0.22779,-0.2272,-0.226615,-0.22603,-0.22544,-0.22485,-0.224255,-0.22368,-0.223115,-0.22254000000000002,-0.22197,-0.221685,-0.221455,-0.22090500000000002,-0.22029500000000002,-0.21986,-0.21951,-0.21918,-0.21886,-0.21853,-0.218005,-0.21717999999999998,-0.216395,-0.21615,-0.2159,-0.21566,-0.21539999999999998,-0.215115,-0.214825,-0.21453,-0.213965,-0.213405,-0.212845,-0.21228,-0.211715,-0.21115,-0.21047
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.8064549999999999,-0.85043,-0.803655,-0.78118,-0.761365,-0.74125,-0.7207349999999999,-0.694435,-0.6619649999999999,-0.62542,-0.58741,-0.54799,-0.5107349999999999,-0.474135,-0.43306,-0.38933,-0.350165,-0.32415499999999997,-0.30989999999999995,-0.292725,-0.27159,-0.24856,-0.226605,-0.20372,-0.17908,-0.158805,-0.134,-0.12198500000000001,-0.11130000000000001,-0.10001499999999999,-0.08007,-0.06515499999999999,-0.052125000000000005,-0.037495,-0.02247,-0.00676,0.004954999999999999,0.01315,0.020255000000000002,0.024645,0.029635,0.033710000000000004,0.03907,0.04331,0.047435000000000005,0.05123,0.05674,0.061335,0.06481,0.070105,0.074605,0.07848,0.08354,0.08781,0.09217,0.096555,0.101455,0.10563,0.108845,0.11261,0.11568,0.11874000000000001,0.12181,0.124885,0.12797999999999998,0.131075,0.13418,0.13811,0.141685,0.145225,0.148775,0.15235500000000002,0.15613,0.15955999999999998,0.16318,0.16683,0.170495,0.174245,0.17802,0.18111,0.18422,0.187475,0.191385,0.19532,0.19927499999999998,0.20324,0.20723,0.211505
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.50937,0.5113,0.5132,0.515045,0.516805,0.518475,0.51796,0.51569,0.5117,0.50593,0.498485,0.48945,0.47891,0.46697,0.45348,0.43837000000000004,0.423985,0.4105,0.39727,0.38459,0.372445,0.36085999999999996,0.349765,0.338555,0.328275,0.31840999999999997,0.308875,0.29968,0.29096500000000003,0.282495,0.27425,0.26621,0.25841000000000003,0.25082499999999996,0.24341000000000002,0.2361,0.22904999999999998,0.22252,0.21647,0.210865,0.205555,0.20066,0.19611,0.19189,0.18803999999999998,0.18453999999999998,0.18116,0.17793,0.17495,0.172165,0.16949999999999998,0.16704,0.16473500000000002,0.16256,0.160505,0.15857500000000002,0.15667999999999999,0.154845,0.15313500000000002,0.15145999999999998,0.14980500000000002,0.148125,0.146475,0.14485,0.14324,0.14167,0.14012000000000002,0.13859,0.13712,0.135665,0.13422499999999998,0.1328,0.13134,0.129845,0.12835000000000002,0.126925,0.12541,0.12371499999999999,0.12192,0.120065,0.1182,0.11637,0.11449999999999999,0.1126,0.110655
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|CO2,1.42261,1.449525,1.4684599999999999,1.508995,1.53774,1.5569000000000002,1.5800049999999999,1.6121400000000001,1.65022,1.6734,1.701525,1.7321849999999999,1.7553100000000001,1.7861850000000001,1.80837,1.8433,1.8750499999999999,1.90445,1.94262,1.96815,2.0016499999999997,2.035485,2.070035,2.10305,2.135425,2.1674100000000003,2.1987750000000004,2.226025,2.248635,2.26808,2.284245,2.29726,2.30769,2.31431,2.3186999999999998,2.316585,2.31157,2.30693,2.30293,2.299765,2.29629,2.28841,2.278525,2.268115,2.256205,2.244655,2.2301,2.211595,2.19258,2.17561,2.158185,2.140365,2.1208,2.1009849999999997,2.0829649999999997,2.063175,2.0415349999999997,2.02059,1.999835,1.979255,1.958835,1.943285,1.9279600000000001,1.911065,1.88997,1.867335,1.844775,1.82491,1.805945,1.785725,1.764185,1.742765,1.72188,1.70329,1.684765,1.66591,1.6458949999999999,1.62598,1.60612,1.5859,1.5665550000000001,1.548085,1.529665,1.5113150000000002,1.49307,1.4749249999999998,1.4568599999999998,1.438125,1.41839,1.398695,1.378995,1.35724,1.335475,1.3152650000000001,1.29577,1.27748,1.2602,1.24287,1.2255,1.20798,1.19028,1.17239,1.15431,1.1355149999999998,1.1164749999999999,1.0957
MAGICC7,08ba33b2-07c5-4339-9d90-b8bcc990a4f6,AR6,0.5,,,World,C1_5th,climate,not_relevant,W/m^2,Effective Radiative Forcing|N2O,0.13894499999999999,0.14259,0.14575,0.148285,0.151115,0.15486,0.15747,0.1596,0.1618,0.16401,0.16674,0.16957,0.172055,0.17528,0.17772,0.18073,0.184265,0.187205,0.190355,0.19404,0.198135,0.2,0.201845,0.20366499999999998,0.20547500000000002,0.207275,0.20906000000000002,0.210735,0.212285,0.213725,0.21504,0.21624,0.21732,0.218285,0.21914,0.21986499999999998,0.220485,0.22106,0.2216,0.2221,0.22256,0.22298,0.22337,0.223715,0.22403499999999998,0.22431,0.22456,0.224765,0.224935,0.22507,0.22516,0.225215,0.22523500000000002,0.22522,0.225165,0.225075,0.22495500000000002,0.22482,0.224665,0.224495,0.224315,0.22412500000000002,0.22392,0.2237,0.223465,0.223225,0.222975,0.222705,0.22243000000000002,0.22214,0.22184,0.22153,0.22120499999999998,0.220875,0.22053,0.22017,0.219805,0.219435,0.21905000000000002,0.21865,0.21825,0.217835,0.21741,0.21698,0.21654,0.216085,0.215625,0.21515499999999999,0.21467999999999998,0.2142,0.21371,0.21321,0.21271,0.2122,0.211685,0.21116000000000001,0.21063,0.21009,0.209545,0.208995,0.208425,0.207855,0.20728000000000002,0.20668999999999998,0.206095,0.20549499999999998
