climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1858.42675,1873.196065,1886.293025,1897.83347,1907.862725,1916.484495,1920.685455,1920.58187,1916.41837,1908.79704,1897.795695,1883.7918399999999,1867.15081,1847.9402,1826.220885,1802.07962,1778.598055,1755.9016900000001,1733.769105,1712.27496,1691.31092,1670.65994,1650.3923,1630.545485,1611.2527300000002,1592.390455,1574.135195,1556.49344,1539.43548,1522.945645,1506.9351350000002,1491.83743,1477.12843,1462.727615,1448.453115,1434.248605,1420.5811899999999,1407.430405,1394.756585,1382.516985,1370.6630049999999,1359.22253,1348.1500350000001,1337.3141,1326.721035,1316.45606,1306.7722800000001,1297.510415,1288.68418,1280.24272,1272.1215200000001,1264.12293,1256.38074,1249.042085,1241.94434,1234.98387,1227.9418150000001,1220.825495,1213.63651,1206.38338,1199.0694050000002,1191.7594,1184.39331,1176.957585,1169.448625,1161.87127,1154.68061,1147.860765,1141.379605,1135.2148200000001,1129.34925,1123.76289,1118.42984,1113.2906050000001,1108.350535,1103.590945,1098.978865,1094.5258,1090.2529749999999,1086.11919,1082.121295,1078.254475,1074.506225,1070.866525,1067.31899
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.713595,405.445235,408.14349500000003,410.841795,413.55859999999996,416.278795,418.74039500000003,420.98407499999996,423.029835,424.91139,426.59598500000004,428.09874,429.424335,430.57711,431.55897000000004,432.37271499999997,433.09373500000004,433.732075,434.27191500000004,434.71596999999997,435.065105,435.33455,435.27256,435.08291,434.78473,434.38804,434.001705,433.56591000000003,433.158005,432.739605,432.27702999999997,431.769725,431.217855,430.61836,429.96684000000005,429.25973,428.46948,427.662785,426.843385,426.009945,425.138215,424.236735,423.320975,422.390075,421.44365000000005,420.477805,419.48197,418.46569,417.569695,416.717065,415.80607499999996,415.000475,414.223435,413.40932,412.59738000000004,411.83563,411.15166,410.47985,409.82051,409.17225,408.53333,407.849135,407.14758,406.38762499999996,405.636395,404.92049,404.24559,403.587225,402.94168,402.373465,401.806195,401.240115,400.676695,400.116615,399.56177,399.01428999999996,398.461935,397.90662,397.3441,396.77156,396.171175,395.42388,394.66661999999997,393.90087,393.01671
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.94606,329.706655,330.462995,331.216565,331.96708,332.71461,333.433485,334.12389499999995,334.78592,335.41975,336.02612,336.604415,337.155245,337.679125,338.176105,338.64641,339.10002,339.53736,339.9584,340.36326,340.75209,341.12502,341.48221,341.82382,342.15003,342.461,342.76146,343.05166,343.3325,343.60318,343.86371,344.11418,344.35465,344.58523,344.805905,345.01707,345.222135,345.42118,345.61395500000003,345.800565,345.98116500000003,346.15506,346.32275500000003,346.48519,346.64179,346.79282,346.94228999999996,347.09024999999997,347.236715,347.38168,347.525125,347.667025,347.807345,347.946105,348.08335,348.21913,348.34803,348.470055,348.58522,348.69360500000005,348.79524000000004,348.890175,348.978435,349.06039999999996,349.13593000000003,349.204875,349.27297999999996,349.34047,349.40732,349.473795,349.539695,349.60496,349.669575,349.73353,349.796805,349.85935500000005,349.92158,349.98347,350.04451,350.10483999999997,350.16494,350.22481500000004,350.28447,350.343895,350.40306999999996
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5521399999999996,2.645785,2.537,2.5718199999999998,2.61415,2.7004900000000003,2.75694,2.835255,2.914205,2.971985,3.015745,3.036055,3.04228,3.04638,3.0592249999999996,3.065905,3.07398,3.067995,3.0674900000000003,3.0846,3.11816,3.11615,3.121335,3.1062849999999997,3.09755,3.0698749999999997,3.036645,3.006195,2.9894749999999997,2.97724,2.97218,2.990325,2.99391,2.99796,2.986625,2.9489549999999998,2.900665,2.865315,2.8353450000000002,2.80743,2.791455,2.785655,2.78015,2.76153,2.74781,2.733325,2.70268,2.67579,2.65163,2.6338850000000003,2.616925,2.60723,2.6133100000000002,2.6174850000000003,2.618815,2.6009,2.57393,2.544855,2.528225,2.51323,2.495895,2.482375,2.46583,2.45813,2.459465,2.46906,2.468725,2.4559249999999997,2.440685,2.4156050000000002,2.397165,2.367175,2.34427,2.332095,2.322405,2.323125,2.332825,2.33788,2.347705,2.3287250000000004,2.301125,2.27714,2.250895,2.234315,2.21629,2.213355,2.222055
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.1575950000000002,-1.183865,-1.18078,-1.188025,-1.1277849999999998,-1.097835,-1.16647,-1.09991,-1.15506,-1.09594,-1.15209,-1.07968,-1.06653,-1.05321,-1.03975,-1.02533,-1.00702,-0.98146,-0.95524,-0.92667,-0.897635,-0.8692150000000001,-0.841205,-0.810675,-0.7798,-0.75001,-0.721665,-0.703345,-0.68488,-0.66591,-0.646815,-0.627445,-0.60776,-0.58596,-0.5624899999999999,-0.54034,-0.5234,-0.51188,-0.50024,-0.48847,-0.47655,-0.46448,-0.45229,-0.44026,-0.42866499999999996,-0.41771,-0.409715,-0.407535,-0.40569500000000003,-0.40436,-0.40329,-0.40221,-0.40113,-0.40004,-0.39895,-0.39785,-0.394945,-0.39058000000000004,-0.386205,-0.38182499999999997,-0.37743,-0.373025,-0.368615,-0.36419999999999997,-0.359765,-0.355325,-0.35109,-0.34689000000000003,-0.34247,-0.33784,-0.3332,-0.32855,-0.32388,-0.3192,-0.31451,-0.30981,-0.30614,-0.30341,-0.30068,-0.29794,-0.2952,-0.29245,-0.28992,-0.28695,-0.28417,-0.2814,-0.27816,-0.27441,-0.27064,-0.26686,-0.26302499999999995,-0.25928,-0.25556,-0.25183500000000003,-0.248095,-0.24434499999999998,-0.240585
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.28831,-0.262135,-0.258815,-0.25600500000000004,-0.253545,-0.25072,-0.246795,-0.241285,-0.235355,-0.22944,-0.223105,-0.21580500000000002,-0.20853,-0.201265,-0.19393500000000002,-0.18596,-0.180985,-0.178155,-0.174915,-0.17409,-0.17361,-0.172815,-0.17217,-0.17133500000000002,-0.16987000000000002,-0.16819,-0.16585,-0.16575,-0.166515,-0.166905,-0.166745,-0.16689500000000002,-0.16729,-0.167745,-0.168265,-0.16893,-0.16897,-0.169555,-0.17013,-0.170715,-0.17157,-0.17263,-0.1737,-0.174765,-0.175825,-0.176895,-0.17666500000000002,-0.17522,-0.173655,-0.17202499999999998,-0.17039500000000002,-0.16877,-0.167145,-0.16552,-0.16394999999999998,-0.16247,-0.161315,-0.1597,-0.15786499999999998,-0.156025,-0.15419,-0.15235500000000002,-0.15052,-0.14868,-0.146855,-0.145685,-0.14494,-0.14455,-0.144165,-0.143775,-0.14339000000000002,-0.14300000000000002,-0.142615,-0.14240999999999998,-0.142025,-0.141635,-0.14141,-0.14130500000000001,-0.141205,-0.140965,-0.14029,-0.139615,-0.13895000000000002,-0.13827499999999998,-0.13757999999999998,-0.13682,-0.13605499999999998
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.8064549999999999,-0.85043,-0.815805,-0.803945,-0.792415,-0.780775,-0.7690049999999999,-0.753415,-0.7338549999999999,-0.713935,-0.693605,-0.672835,-0.651615,-0.629965,-0.60783,-0.585155,-0.561945,-0.54158,-0.52403,-0.5052,-0.48604,-0.46658,-0.44677,-0.42658,-0.40601,-0.386645,-0.367475,-0.35245,-0.34179499999999996,-0.33103499999999997,-0.32126,-0.31139,-0.30141,-0.29133,-0.281135,-0.270805,-0.259765,-0.25288,-0.25089,-0.248885,-0.24688500000000002,-0.24488,-0.242875,-0.24086,-0.23884,-0.236755,-0.23417,-0.23064,-0.225985,-0.2213,-0.217045,-0.21379,-0.209865,-0.205585,-0.201285,-0.19697,-0.192635,-0.18864999999999998,-0.18500499999999998,-0.18134499999999998,-0.17767,-0.173995,-0.170765,-0.16771999999999998,-0.164325,-0.16093000000000002,-0.15751500000000002,-0.15418500000000002,-0.151535,-0.148885,-0.146225,-0.14356000000000002,-0.14089000000000002,-0.13865,-0.13652,-0.13439,-0.13224999999999998,-0.12972,-0.12678499999999998,-0.12384,-0.12089,-0.117935,-0.11382500000000001,-0.11104,-0.10836,-0.10567499999999999,-0.10208500000000001,-0.097465
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.512995,0.51796,0.522315,0.526115,0.529335,0.5320199999999999,0.53313,0.53281,0.531525,0.528985,0.525285,0.5204949999999999,0.5146850000000001,0.507915,0.50024,0.4919,0.48362,0.47542,0.467295,0.45916500000000005,0.451365,0.443495,0.43567,0.428035,0.42054,0.41317000000000004,0.406015,0.399065,0.39229499999999995,0.385695,0.37875000000000003,0.37209499999999995,0.36585,0.359735,0.35379,0.34801499999999996,0.34243,0.33703,0.33179000000000003,0.326715,0.32177500000000003,0.316955,0.31228,0.307785,0.30339499999999997,0.29908999999999997,0.29498,0.291035,0.287255,0.283615,0.280115,0.276725,0.273445,0.270155,0.26693,0.26380499999999996,0.26063499999999995,0.257415,0.254155,0.250855,0.24751,0.24413,0.240705,0.23724,0.233715,0.23008,0.226625,0.22336,0.22029500000000002,0.21738000000000002,0.214605,0.211955,0.20944000000000002,0.20702,0.20461000000000001,0.20216499999999998,0.199845,0.19762000000000002,0.195495,0.193465,0.191515,0.18965,0.18785,0.18612,0.184445
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|CO2,1.42261,1.449525,1.4684599999999999,1.508995,1.53774,1.5569000000000002,1.5800049999999999,1.6121400000000001,1.65022,1.6734,1.701525,1.7321849999999999,1.7553100000000001,1.7861850000000001,1.80837,1.8433,1.8750499999999999,1.90445,1.94262,1.96815,2.0016499999999997,2.03945,2.0782350000000003,2.11594,2.153335,2.190995,2.2285000000000004,2.2624899999999997,2.29358,2.321875,2.34635,2.36797,2.38707,2.40372,2.418445,2.42896,2.4371,2.44339,2.449995,2.45268,2.454005,2.456675,2.4606149999999998,2.462515,2.46465,2.46288,2.4597499999999997,2.456375,2.4552050000000003,2.451485,2.443905,2.435445,2.429285,2.420045,2.41263,2.40223,2.39111,2.37998,2.3688,2.35757,2.34632,2.33506,2.32381,2.31249,2.30108,2.28956,2.27788,2.26646,2.25526,2.24431,2.23358,2.22309,2.21286,2.20291,2.19316,2.18356,2.17406,2.1647,2.15549,2.14582,2.13612,2.125925,2.1157950000000003,2.1063,2.098085,2.089905,2.081795,2.0737449999999997,2.06576,2.0578399999999997,2.049965,2.042125,2.034295,2.0264550000000003,2.017195,2.00759,1.99816,1.988745,1.979425,1.9705599999999999,1.96189,1.95286,1.9429400000000001,1.93288,1.92269,1.913055
MAGICC7,d3583437-e6be-4e69-a1d1-adf0fa37df19,AR6,0.5,,,World,C1_med,climate,not_relevant,W/m^2,Effective Radiative Forcing|N2O,0.13894499999999999,0.14259,0.14575,0.148285,0.151115,0.15486,0.15747,0.1596,0.1618,0.16401,0.16674,0.16957,0.172055,0.17528,0.17772,0.18073,0.184265,0.187205,0.190355,0.19404,0.198135,0.200695,0.203245,0.20577499999999999,0.208305,0.21082,0.213335,0.21576499999999998,0.21812,0.22040500000000002,0.22260000000000002,0.224725,0.226775,0.22875,0.23065000000000002,0.23247,0.23421,0.2359,0.237535,0.23911,0.240635,0.2421,0.24351499999999998,0.244875,0.24618,0.24743500000000002,0.248635,0.2498,0.250925,0.252015,0.25307,0.254085,0.25507,0.25601,0.25692000000000004,0.25780000000000003,0.25864,0.25946,0.26025,0.26102000000000003,0.26177,0.26249999999999996,0.2632,0.26388,0.26454,0.26517999999999997,0.26580000000000004,0.266405,0.267005,0.2676,0.268185,0.26876,0.26932999999999996,0.26988999999999996,0.27044500000000005,0.270995,0.27153499999999997,0.272045,0.272545,0.273015,0.27346,0.27388500000000005,0.27429000000000003,0.27466999999999997,0.27502,0.27536,0.275675,0.27597499999999997,0.27627999999999997,0.276575,0.27687,0.27715,0.27744,0.277715,0.27798999999999996,0.27825500000000003,0.278525,0.278785,0.279045,0.279305,0.27956499999999995,0.27982,0.28007499999999996,0.280325,0.280575,0.280825
