Scenario,Year,ccsfos,co2elc,esfe,fed,ghg,lcspe,nonnrg
5th,2020,0.0,419.29620981167545,0.18808399671122655,369.0,52.192,0.1208438015306068,
5th,2030,0.006,3.6947313181675367,0.2304516580708132,293.0,21.491,0.16970570171474247,
5th,2040,0.045,-49.16856018916883,0.3020609072951752,296.0,5.588,0.21892798570718397,
5th,2050,0.052,-65.78372583130295,0.40411303064913306,325.0,0.999,0.2644281828685061,
5th,2060,0.045,-81.19226066707697,0.43615441626416984,337.0,-1.952,0.2897847336501741,
5th,2070,0.047,-93.62264423498354,0.46122214293003444,355.0,-5.47,0.2824179860133483,
5th,2080,0.026,-95.56925271122903,0.4784800809075156,361.0,-7.504,0.25487725324605226,
5th,2090,0.002,-92.79060369902196,0.49072196109876903,342.0,-9.882,0.24226821418547026,
5th,2100,0.0,-103.8822809571639,0.495587285387148,321.0,-10.297,0.2381379310151095,
95th,2020,0.024,522.2672003628422,0.247995217927799,458.0,57.998,0.18259394793388298,
95th,2030,5.426,215.36027953099293,0.3532088758407138,447.0,36.154,0.518472687553315,
95th,2040,10.279,58.75985534947228,0.5115195516463035,487.0,23.194,0.7568167198563884,
95th,2050,12.638,11.096974116297792,0.6400296894897619,540.0,14.701,0.8903352088784768,
95th,2060,15.653,4.807863737373967,0.7128587430085743,583.0,9.722,0.9298528558945371,
95th,2070,14.6,4.721146554295469,0.740345233664955,628.0,8.296,0.9658119482071623,
95th,2080,15.651,1.222638643529685,0.7585043812161903,685.0,8.039,0.9800390135201176,
95th,2090,16.0,0.5313209688565071,0.7683170231187241,752.0,7.637,0.9862828337293221,
95th,2100,15.575,1.4072167081715172,0.7820478016003474,818.0,7.486,0.992682665551264,
IMP-LD,2020,,,0.189919894839646,422.0,54.008,,
IMP-LD,2030,,,0.3327492755076392,313.0,23.982,,
IMP-LD,2040,,,0.4757162136860257,267.0,13.246,,
IMP-LD,2050,,,0.5527892823623252,243.0,7.113,,
IMP-LD,2060,,,0.5688845373944074,240.0,4.317,,
IMP-LD,2070,,,0.566238929378358,240.0,2.263,,
IMP-LD,2080,,,0.5495436026163982,243.0,0.707,,
IMP-LD,2090,,,0.544459868826934,241.0,0.194,,
IMP-LD,2100,,,0.5422795678780827,239.0,-0.073,,
IMP-Ren,2020,0.0,456.6466804176873,0.19952439858699572,443.0,57.47,0.15983423547021283,17.673
IMP-Ren,2030,0.407,69.6258335334748,0.2966566453800945,404.0,29.647,0.398221846783975,10.923
IMP-Ren,2040,0.927,14.280159285518154,0.5095965130923885,379.0,16.824,0.6749198795873751,9.556
IMP-Ren,2050,0.558,3.0882802147920025,0.6628486749498225,369.0,10.358,0.8519064617172121,9.313
IMP-Ren,2060,0.402,-0.4844937807235142,0.7100489972935616,387.0,8.092,0.9131903311562691,8.999
IMP-Ren,2070,0.299,-1.4396957205650462,0.7325613012345591,419.0,7.201,0.939160288297816,8.71
IMP-Ren,2080,0.191,-1.482295835661896,0.7420548055879382,447.0,6.652,0.9536347911094047,8.165
IMP-Ren,2090,0.168,-1.7232381238974828,0.7449616762049196,468.0,5.952,0.9594017863114931,7.423
IMP-Ren,2100,0.148,-1.6495845214393168,0.7484292430740966,500.0,5.586,0.9640401188725434,6.957
IMP-SP,2020,0.001,428.5270797735233,0.20190438062663682,414.0,55.002,0.17492420391237323,17.711
IMP-SP,2030,0.241,125.91783855153543,0.2889364783309218,410.0,32.743,0.3368770608137518,9.948
IMP-SP,2040,0.617,28.95943373074589,0.4134983492080768,390.0,18.904,0.5233497436546909,5.139
IMP-SP,2050,0.487,15.966239447657403,0.5729801304335934,355.0,9.52,0.7085853465926358,2.573
IMP-SP,2060,0.345,9.198749884362762,0.6347582282485633,335.0,5.472,0.8130615671246089,2.235
IMP-SP,2070,0.234,3.7935097490319247,0.6853633456600029,321.0,2.395,0.8925352048653352,1.946
IMP-SP,2080,0.153,0.45164395668907314,0.6984661680122567,306.0,0.691,0.9302750678073538,1.567
IMP-SP,2090,0.131,-1.6786713256880912,0.6944427428499792,281.0,-0.147,0.9411276878210695,1.151
IMP-SP,2100,0.094,-3.451469950164508,0.7112959919769094,264.0,-1.08,0.9619921587833186,0.658
Median,2020,0.0,459.1583334631807,0.20272390416931588,414.0,55.092,0.16289558891046965,
Median,2030,0.594,99.1606195009142,0.2656694269365413,399.0,31.454,0.34587156981971795,
Median,2040,1.683,2.516088065628085,0.3990503174289175,394.0,17.14,0.5973560167028804,
Median,2050,2.229,-5.492370169032874,0.5187205641815655,410.0,8.586,0.7788045750690368,
Median,2060,2.868,-7.124095431471336,0.5803318572870726,449.0,5.472,0.8487275739283493,
Median,2070,3.363,-6.475388070818031,0.6173795772902165,508.0,3.52,0.8630561746058032,
Median,2080,3.257,-4.45025916286234,0.644713804471704,546.0,2.244,0.8740402243337274,
Median,2090,3.304,-3.651195081592363,0.6516631937214105,574.0,0.194,0.8789652522860012,
Median,2100,3.088,-4.329745783796109,0.6590488584447362,612.0,-0.073,0.8865476349953043,
